index,true_label,pred_label,second_label,prob_cls0,prob_cls1,prob_cls2
4,0,1,0,0.3921653628349304,0.5064131617546082,0.10142152011394501
5,2,1,2,0.24659942090511322,0.3981347382068634,0.3552658259868622
7,2,0,2,0.47862863540649414,0.05425659939646721,0.46711480617523193
8,2,0,2,0.5228830575942993,0.058996204286813736,0.41812071204185486
11,2,0,2,0.4942038953304291,0.051764074712991714,0.4540320932865143
20,2,0,2,0.5610966086387634,0.05315839871764183,0.38574501872062683
27,0,1,0,0.3711029887199402,0.5233741998672485,0.10552279651165009
31,2,1,2,0.2219802737236023,0.39313817024230957,0.38488152623176575
35,2,1,2,0.27895650267601013,0.42548492550849915,0.2955585718154907
41,2,1,2,0.25769689679145813,0.37349966168403625,0.3688035011291504
42,0,1,0,0.4751417934894562,0.4817132353782654,0.043145034462213516
44,2,0,2,0.4794555902481079,0.055432580411434174,0.4651118516921997
50,2,0,2,0.49080756306648254,0.052825313061475754,0.4563671350479126
51,2,1,2,0.27851593494415283,0.3972179591655731,0.32426613569259644
64,2,1,2,0.2185344398021698,0.41982242465019226,0.36164307594299316
73,0,2,0,0.3751443922519684,0.0780889019370079,0.5467667579650879
74,2,0,2,0.49202394485473633,0.053018756210803986,0.4549573063850403
76,2,1,2,0.232426717877388,0.39193448424339294,0.37563881278038025
90,2,1,2,0.3116225600242615,0.3744990825653076,0.3138783276081085
91,2,1,2,0.21561892330646515,0.42207133769989014,0.3623097538948059
95,0,2,0,0.33668625354766846,0.2338779717683792,0.4294358193874359
98,2,0,2,0.532336950302124,0.05035732313990593,0.41730567812919617
101,2,1,2,0.2854085862636566,0.380032479763031,0.33455890417099
114,0,1,0,0.4782954156398773,0.47972777485847473,0.041976891458034515
125,0,1,0,0.47349512577056885,0.483374685049057,0.04313028231263161
132,0,2,0,0.4604648947715759,0.06425749510526657,0.47527754306793213
134,2,1,2,0.22664816677570343,0.4083113372325897,0.36504045128822327
145,2,1,2,0.2253715693950653,0.4145045876502991,0.36012381315231323
146,2,0,2,0.5425866842269897,0.054785072803497314,0.40262824296951294
149,2,0,2,0.48690304160118103,0.05747709795832634,0.45561984181404114
151,2,0,2,0.5210936665534973,0.0494246669113636,0.4294816255569458
162,0,1,0,0.4045024812221527,0.5076175928115845,0.08787991106510162
166,2,0,2,0.5074211359024048,0.050954725593328476,0.44162413477897644
168,2,1,2,0.22691978514194489,0.4131969213485718,0.3598833382129669
170,2,1,2,0.20218874514102936,0.41530144214630127,0.38250985741615295
172,0,2,0,0.414712131023407,0.15074490010738373,0.4345429241657257
174,2,1,2,0.1680179387331009,0.4256203770637512,0.4063616693019867
177,2,0,2,0.47729426622390747,0.05349304899573326,0.46921268105506897
178,0,1,0,0.33886784315109253,0.504173994064331,0.15695814788341522
184,0,2,0,0.4154622554779053,0.0753827765583992,0.5091550350189209
188,2,0,2,0.5248697996139526,0.048486147075891495,0.42664405703544617
197,2,1,2,0.20604307949543,0.4169742166996002,0.376982718706131
200,2,0,2,0.5162459015846252,0.050856441259384155,0.4328976273536682
204,0,1,0,0.32201650738716125,0.5449433326721191,0.1330401748418808
209,2,1,2,0.23840519785881042,0.4123997390270233,0.34919509291648865
213,2,0,2,0.5293517708778381,0.08009575307369232,0.3905525207519531
224,2,1,2,0.2250884771347046,0.40722814202308655,0.36768344044685364
231,2,0,2,0.5183987617492676,0.04968993738293648,0.43191131949424744
232,2,1,2,0.21362467110157013,0.41965973377227783,0.36671561002731323
244,2,0,2,0.49970078468322754,0.054289862513542175,0.4460093379020691
247,2,1,2,0.16654035449028015,0.4190424382686615,0.4144171178340912
257,2,0,2,0.4927486479282379,0.051923736929893494,0.4553276002407074
259,2,1,2,0.1569640338420868,0.42185428738594055,0.4211816191673279
267,2,1,2,0.17701376974582672,0.413385272026062,0.4096009433269501
272,0,1,0,0.47642698884010315,0.4803008437156677,0.043272096663713455
273,2,1,2,0.2705537676811218,0.3943462371826172,0.335099995136261
281,2,0,2,0.5028696656227112,0.05122730880975723,0.4459029734134674
291,2,1,2,0.18243905901908875,0.42983877658843994,0.3877221941947937
293,2,1,0,0.3196156620979309,0.38579174876213074,0.29459261894226074
294,2,0,2,0.49040672183036804,0.053045760840177536,0.45654749870300293
297,2,1,2,0.20493432879447937,0.4195118546485901,0.37555381655693054
301,2,1,2,0.22820934653282166,0.40702593326568604,0.3647647202014923
307,2,0,2,0.4747796952724457,0.058655425906181335,0.46656495332717896
308,0,1,0,0.31904134154319763,0.4912601411342621,0.18969853222370148
318,0,1,0,0.39262834191322327,0.4817782938480377,0.12559334933757782
321,2,0,2,0.5014061331748962,0.05097343772649765,0.4476204216480255
323,2,1,2,0.2502277195453644,0.3908419609069824,0.3589303195476532
330,2,0,2,0.5122706890106201,0.05134396255016327,0.4363853335380554
332,2,1,2,0.13307981193065643,0.4688614308834076,0.39805880188941956
335,2,0,2,0.5076518058776855,0.050297580659389496,0.44205060601234436
338,2,0,2,0.47737830877304077,0.05723129212856293,0.4653903543949127
340,2,0,2,0.5173983573913574,0.05050332471728325,0.4320983290672302
348,2,0,2,0.5077322721481323,0.05161837488412857,0.4406494200229645
